date,order_book_id,gru_score
2021-05-17,000008.XSHE,0.7228255271911621
2021-05-17,000009.XSHE,1.139174461364746
2021-05-17,000012.XSHE,0.4210496246814728
2021-05-17,000021.XSHE,0.6473940014839172
2021-05-17,000027.XSHE,-1.0808316469192505
2021-05-17,000028.XSHE,0.5841268301010132
2021-05-17,000031.XSHE,0.7248689532279968
2021-05-17,000060.XSHE,0.15608887374401093
2021-05-17,000061.XSHE,0.8149673342704773
2021-05-17,000062.XSHE,0.34364086389541626
2021-05-17,000078.XSHE,0.485765278339386
2021-05-17,000089.XSHE,0.7283254265785217
2021-05-17,000158.XSHE,0.1928839236497879
2021-05-17,000400.XSHE,0.6824876666069031
2021-05-17,000488.XSHE,-0.508404552936554
2021-05-17,000501.XSHE,0.7652217149734497
2021-05-17,000513.XSHE,0.17016050219535828
2021-05-17,000519.XSHE,0.5086566805839539
2021-05-17,000537.XSHE,0.7309099435806274
2021-05-17,000543.XSHE,0.5374051332473755
2021-05-17,000547.XSHE,0.8424023985862732
2021-05-17,000559.XSHE,0.6904118061065674
2021-05-17,000563.XSHE,0.7466036677360535
2021-05-17,000581.XSHE,0.6872719526290894
2021-05-17,000598.XSHE,0.5862329602241516
2021-05-17,000600.XSHE,-0.10407529771327972
2021-05-17,000623.XSHE,0.666400134563446
2021-05-17,000636.XSHE,0.5737290978431702
2021-05-17,000681.XSHE,0.6537176370620728
2021-05-17,000685.XSHE,0.7456021904945374
2021-05-17,000686.XSHE,0.7166678309440613
2021-05-17,000690.XSHE,0.388583779335022
2021-05-17,000717.XSHE,0.2344386875629425
2021-05-17,000718.XSHE,-0.6159576773643494
2021-05-17,000729.XSHE,0.4543536901473999
2021-05-17,000738.XSHE,0.8387566804885864
2021-05-17,000778.XSHE,0.8059437274932861
2021-05-17,000807.XSHE,-0.30587732791900635
2021-05-17,000830.XSHE,0.22969910502433777
2021-05-17,000869.XSHE,0.7464225888252258
2021-05-17,000878.XSHE,0.330775648355484
2021-05-17,000883.XSHE,-0.7496157884597778
2021-05-17,000887.XSHE,0.7843298316001892
2021-05-17,000930.XSHE,0.6569114327430725
2021-05-17,000932.XSHE,-0.3455343246459961
2021-05-17,000937.XSHE,0.25331345200538635
2021-05-17,000960.XSHE,-0.050103604793548584
2021-05-17,000970.XSHE,0.9228285551071167
2021-05-17,000983.XSHE,0.3790232241153717
2021-05-17,000988.XSHE,0.6354943513870239
2021-05-17,000990.XSHE,0.5154538154602051
2021-05-17,000997.XSHE,0.20930293202400208
2021-05-17,000998.XSHE,0.7748492360115051
2021-05-17,000999.XSHE,0.5721760392189026
2021-05-17,002002.XSHE,-1.0039652585983276
2021-05-17,002004.XSHE,0.13079236447811127
2021-05-17,002019.XSHE,0.7710253596305847
2021-05-17,002028.XSHE,-0.12831319868564606
2021-05-17,002030.XSHE,0.7278762459754944
2021-05-17,002038.XSHE,0.35324543714523315
2021-05-17,002048.XSHE,1.010069727897644
2021-05-17,002051.XSHE,0.39475739002227783
2021-05-17,002056.XSHE,0.6708112955093384
2021-05-17,002078.XSHE,0.9385082125663757
2021-05-17,002085.XSHE,0.7784024477005005
2021-05-17,002092.XSHE,-0.1650046855211258
2021-05-17,002093.XSHE,0.7718061804771423
2021-05-17,002110.XSHE,0.18292663991451263
2021-05-17,002128.XSHE,0.6436832547187805
2021-05-17,002131.XSHE,0.5105745792388916
2021-05-17,002152.XSHE,0.00972159206867218
2021-05-17,002155.XSHE,0.5340211391448975
2021-05-17,002174.XSHE,0.3938519358634949
2021-05-17,002183.XSHE,0.9153302311897278
2021-05-17,002191.XSHE,0.9568071365356445
2021-05-17,002195.XSHE,0.5019007921218872
2021-05-17,002212.XSHE,0.7405318021774292
2021-05-17,002217.XSHE,0.7586247324943542
2021-05-17,002221.XSHE,0.9879026412963867
2021-05-17,002223.XSHE,0.41856908798217773
2021-05-17,002233.XSHE,0.48602497577667236
2021-05-17,002242.XSHE,0.6232123374938965
